[DEBUG] 2018-02-17 17:46:20.234 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2ec3efe1
[DEBUG] 2018-02-17 17:46:20.234 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2ec3efe1
[DEBUG] 2018-02-17 17:46:20.238 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2cc331fe
[DEBUG] 2018-02-17 17:46:20.238 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2cc331fe
[DEBUG] 2018-02-17 17:46:20.238 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2cc331fe
[DEBUG] 2018-02-17 17:46:20.238 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2cc331fe
[DEBUG] 2018-02-17 17:46:20.239 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2cc331fe
[DEBUG] 2018-02-17 17:46:20.238 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2cc331fe
[DEBUG] 2018-02-17 17:46:20.240 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@38b3116c
[DEBUG] 2018-02-17 17:46:20.240 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@38b3116c
[DEBUG] 2018-02-17 17:46:20.240 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@38b3116c
[DEBUG] 2018-02-17 17:46:20.240 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@38b3116c
[DEBUG] 2018-02-17 17:46:20.241 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@38b3116c
[DEBUG] 2018-02-17 17:46:20.241 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@38b3116c
[DEBUG] 2018-02-17 17:46:20.246 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4a154749
[DEBUG] 2018-02-17 17:46:20.246 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4a154749
[DEBUG] 2018-02-17 17:46:20.246 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4a154749
[DEBUG] 2018-02-17 17:46:20.246 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4a154749
[DEBUG] 2018-02-17 17:46:20.246 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4a154749
[DEBUG] 2018-02-17 17:46:20.246 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4a154749
[DEBUG] 2018-02-17 17:46:20.251 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@45c92498
[DEBUG] 2018-02-17 17:46:20.251 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@45c92498
[DEBUG] 2018-02-17 17:46:20.251 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@45c92498
[DEBUG] 2018-02-17 17:46:20.251 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@45c92498
[DEBUG] 2018-02-17 17:46:20.251 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@45c92498
[DEBUG] 2018-02-17 17:46:20.251 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@45c92498
[DEBUG] 2018-02-17 17:46:20.255 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@69d69b66
[DEBUG] 2018-02-17 17:46:20.255 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@69d69b66
[DEBUG] 2018-02-17 17:46:20.255 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@69d69b66
[DEBUG] 2018-02-17 17:46:20.255 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@69d69b66
[DEBUG] 2018-02-17 17:46:20.255 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@69d69b66
[DEBUG] 2018-02-17 17:46:20.255 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@69d69b66
[DEBUG] 2018-02-17 17:46:20.258 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5453ae86
[DEBUG] 2018-02-17 17:46:20.258 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5453ae86
[DEBUG] 2018-02-17 17:46:20.258 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5453ae86
[DEBUG] 2018-02-17 17:46:20.258 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5453ae86
[DEBUG] 2018-02-17 17:46:20.262 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2eb8d23a
[DEBUG] 2018-02-17 17:46:20.262 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2eb8d23a
[DEBUG] 2018-02-17 17:46:20.262 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2eb8d23a
[DEBUG] 2018-02-17 17:46:20.262 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2eb8d23a
[DEBUG] 2018-02-17 17:46:20.265 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@5bf21917
[DEBUG] 2018-02-17 17:46:20.265 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@5bf21917
[DEBUG] 2018-02-17 17:46:20.265 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@5bf21917
[DEBUG] 2018-02-17 17:46:20.265 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@5bf21917
